chemical_name,short,accuracy,smaller,Notes
"ALKALINITY, TOTAL (AS CaCO3)",alkalinity,25,NA,
Aluminum,aluminum,25,NA,
Arsenic,arsenic,25,NA,
Cadmium,cadmium,25,NA,
Calcium,calcium,25,NA,
"Carbon, Dissolved Organic (DOC)",DOC,25,TOTAL ORGANIC CARBON,
CHLORIDE (AS CL),chloride,25,NA,
Chlorophyll A,ChlA,25,NA,
Conductivity at 25 Degrees Celsius,conductivity,25,NA,
Copper,copper,25,NA,
"Fluoride, undistilled",fluoride,25,NA,
HARDNESS (AS CACO3),hardness,25,NA,
Iron,iron,25,NA,
Lead,lead,25,NA,
Magnesium,magnesium,25,NA,
Manganese,manganese,25,NA,
Mercury,mercury,25,NA,
Nickel,nickel,25,NA,
Nitrate+Nitrite as Nitrogen,NO3+NO2,25,NA,
Nitrogen,nitrogen,25,NA,
"Nitrogen, ammonia (As N)",NH3,25,Nitrogen,
"NITROGEN, KJELDAHL, TOTAL",TKN,25,NA,
"NITROGEN, NITRATE (AS N)",NO3,25,NA,
"NITROGEN, NITRITE",NO2,25,Nitrate+Nitrite as Nitrogen,
"Orthophosphate as Phosphorus, Dissolved",orthoP,25,"PHOSPHORUS, TOTAL (AS P)",
PH,ph,25,NA,
"PHOSPHORUS, TOTAL (AS P)",phosphorus,25,NA,
Potassium,potassium,25,NA,
Silver,silver,25,NA,
Sodium,sodium,25,NA,
SULFATE (AS SO4),sulfate,25,NA,
Temperature of pH Analysis,tempph,25,NA,
"TOTAL DISSOLVED SOLIDS (RESIDUE, FILTERABLE)",TDS,25,NA,
Total Suspended Solids,TSS,25,NA,
TURBIDITY,turbidity,25,NA,
Zinc,zinc,25,NA,
"Color, True",color,25,NA,
pH of Color Analysis,ph_color,25,NA,
UV 254,UV254,25,NA,
"PHOSPHORUS, DISSOLVED (AS P)",diss_phosphorus,25,"PHOSPHORUS, TOTAL (AS P)",
TOTAL ORGANIC CARBON,TOC,25,NA,
Chloroform,chloroform,25,NA,
Dibromochloromethane,dibromochloromethane,25,NA,
Bromodichloromethane,bromodichloromethane,25,NA,
Bromoform,bromoform,25,NA,
Dibromoacetic Acid,dibromoacetic acid,25,NA,
DICHLOROACETIC ACID,dichloroacetic acid,25,NA,
Monobromoacetic Acid,monobromoacetic acid,25,NA,
Monochloroacetic Acid,monochloroacetic acid,25,NA,
Trichloroacetic Acid,trichloroacetic acid,25,NA,
Selenium,selenium,25,NA,
TOTAL VOLATILE SOLIDS,TVS,25,NA
"PHENOLICS, TOTAL RECOVERABLE",totphen,25,NA