sys_sample_code,sample_date,chemical_name,cas_rn,result_value,result_unit,Lab,lab_qualifiers,fraction,lab_sdg,sample_type_code,DEC_sample_type,qc_original_conc,qc_spike_added,qc_spike_measured,,analysis_date
16-BURT-2.2,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.2,mg/L,Smith,"NJ, U",T,byhand,N,N,,,,,cas_rn
16-BURT-2.2,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,1.3,mg/L,Smith,NJ,T,byhand,N,N,,,,,detection_limit_unit
16-BURT-2.2,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.067,mg/L,Smith,NJ,T,byhand,N,N,,,,,method_detection_limit
16-BURT-2.2,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,Smith,,T,byhand,N,N,,,,,quantitation_limit
16-BURT-2.2,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.23,mg/L,Smith,,T,byhand,N,N,,,,,
16-BURT-2.2,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.65,mg/L,Smith,,T,byhand,N,N,,,,,
16-BURT-2.2,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-BURT-2.2,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.028,mg/L,Smith,,T,byhand,N,N,,,,,
16-BURT-2.2,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.2,mg/L,Smith,"NJ,U",T,byhand,N,N,,,,,
16-BURT-2.2,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.48,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-BURT-2.2,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.39,mg/L,Smith,HT3,T,byhand,N,N,,,,,
16-BURT-2.2,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,"HT3,U",T,byhand,N,N,,,,,
16-BURT-2.2,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.07,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-BUTH-0.4,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.2,mg/L,Smith,"NJ, U",T,byhand,N,N,,,,,
16-BUTH-0.4,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,2.1,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-BUTH-0.4,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,<0.02,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-BUTH-0.4,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,Smith,,T,byhand,N,N,,,,,
16-BUTH-0.4,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.14,mg/L,Smith,,T,byhand,N,N,,,,,
16-BUTH-0.4,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.76,mg/L,Smith,,T,byhand,N,N,,,,,
16-BUTH-0.4,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-BUTH-0.4,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.022,mg/L,Smith,,T,byhand,N,N,,,,,
16-BUTH-0.4,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.20,mg/L,Smith,"HT3,NJ,U",T,byhand,N,N,,,,,
16-BUTH-0.4,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,6.3,mg/L,Smith,"HTS,NJ",T,byhand,N,N,,,,,
16-BUTH-0.4,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.84,mg/L,Smith,HT3,T,byhand,N,N,,,,,
16-BUTH-0.4,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,"HT3,U",T,byhand,N,N,,,,,
16-BUTH-0.4,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.18,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-CHUR-0.1,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,0.34,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-CHUR-0.1,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,1.9,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-CHUR-0.1,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.03,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-CHUR-0.1,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,Smith,,T,byhand,N,N,,,,,
16-CHUR-0.1,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.2,mg/L,Smith,,T,byhand,N,N,,,,,
16-CHUR-0.1,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.36,mg/L,Smith,,T,byhand,N,N,,,,,
16-CHUR-0.1,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-CHUR-0.1,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.064,mg/L,Smith,,T,byhand,N,N,,,,,
16-CHUR-0.1,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,0.26,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-CHUR-0.1,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,1.4,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-CHUR-0.1,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.31,mg/L,Smith,HT3,T,byhand,N,N,,,,,
16-CHUR-0.1,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,"HT3,U",T,byhand,N,N,,,,,
16-CHUR-0.1,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.26,mg/L,Smith,"NJ,X",T,byhand,N,N,,,,,
16-DEUH-0.1,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.2,mg/L,Smith,"NJ, U",T,byhand,N,N,,,,,
16-DEUH-0.1,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,2.5,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-DEUH-0.1,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,<0.02,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-DEUH-0.1,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,Smith,,T,byhand,N,N,,,,,
16-DEUH-0.1,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,<0.1,mg/L,Smith,,T,byhand,N,N,,,,,
16-DEUH-0.1,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.21,mg/L,Smith,,T,byhand,N,N,,,,,
16-DEUH-0.1,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-DEUH-0.1,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,<0.01,mg/L,Smith,,T,byhand,N,N,,,,,
16-DEUH-0.1,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,0.2,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-DEUH-0.1,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.59,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-DEUH-0.1,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.11,mg/L,Smith,,T,byhand,N,N,,,,,
16-DEUH-0.1,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-DEUH-0.1,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.13,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-MLHU-1.0,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,0.59,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-MLHU-1.0,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,3.2,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-MLHU-1.0,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.04,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-MLHU-1.0,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,Smith,,T,byhand,N,N,,,,,
16-MLHU-1.0,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.19,mg/L,Smith,,T,byhand,N,N,,,,,
16-MLHU-1.0,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.2,mg/L,Smith,,T,byhand,N,N,,,,,
16-MLHU-1.0,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-MLHU-1.0,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.02,mg/L,Smith,,T,byhand,N,N,,,,,
16-MLHU-1.0,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.20,mg/L,Smith,"NJ,U",T,byhand,N,N,,,,,
16-MLHU-1.0,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,1,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-MLHU-1.0,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.13,mg/L,Smith,,T,byhand,N,N,,,,,
16-MLHU-1.0,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-MLHU-1.0,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.038,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-MLLR-0.5,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.2,mg/L,Smith,"NJ, U",T,byhand,N,N,,,,,
16-MLLR-0.5,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.36,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-MLLR-0.5,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.033,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-MLLR-0.5,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,Smith,,T,byhand,N,N,,,,,
16-MLLR-0.5,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.18,mg/L,Smith,,T,byhand,N,N,,,,,
16-MLLR-0.5,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.22,mg/L,Smith,,T,byhand,N,N,,,,,
16-MLLR-0.5,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-MLLR-0.5,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.027,mg/L,Smith,,T,byhand,N,N,,,,,
16-MLLR-0.5,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,1.6,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-MLLR-0.5,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.87,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-MLLR-0.5,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.2,mg/L,Smith,HT3,T,byhand,N,N,,,,,
16-MLLR-0.5,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,"HT3,U",T,byhand,N,N,,,,,
16-MLLR-0.5,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.09,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-SWMP-0.1,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,-,mg/L,Smith,,T,byhand,N,N,,,,,
16-SWMP-0.1,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,-,mg/L,Smith,,T,byhand,N,N,,,,,
16-SWMP-0.1,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,-,mg/L,Smith,,T,byhand,N,N,,,,,
16-SWMP-0.1,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,Smith,,T,byhand,N,N,,,,,
16-SWMP-0.1,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.18,mg/L,Smith,,T,byhand,N,N,,,,,
16-SWMP-0.1,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.12,mg/L,Smith,,T,byhand,N,N,,,,,
16-SWMP-0.1,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-SWMP-0.1,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.025,mg/L,Smith,,T,byhand,N,N,,,,,
16-SWMP-0.1,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,0.22,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-SWMP-0.1,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.46,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-SWMP-0.1,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.14,mg/L,Smith,HT3,T,byhand,N,N,,,,,
16-SWMP-0.1,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,"HT3,U",T,byhand,N,N,,,,,
16-SWMP-0.1,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.044,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-SWMP-6.8,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,0.27,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-SWMP-6.8,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,9.6,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-SWMP-6.8,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.078,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-SWMP-6.8,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,Smith,,T,byhand,N,N,,,,,
16-SWMP-6.8,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.45,mg/L,Smith,,T,byhand,N,N,,,,,
16-SWMP-6.8,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.02,mg/L,Smith,J,T,byhand,N,N,,,,,
16-SWMP-6.8,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-SWMP-6.8,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.118,mg/L,Smith,,T,byhand,N,N,,,,,
16-SWMP-6.8,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,0.32,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-SWMP-6.8,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.88,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-SWMP-6.8,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.08,mg/L,Smith,J,T,byhand,N,N,,,,,
16-SWMP-6.8,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,"J,U",T,byhand,N,N,,,,,
16-SWMP-6.8,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.051,mg/L,Smith,NJ,T,byhand,N,N,,,,,
