sys_sample_code,sample_date,chemical_name,cas_rn,result_value,result_unit,Lab,lab_qualifiers,fraction,lab_sdg,sample_type_code,DEC_sample_type,qc_original_conc,qc_spike_added,qc_spike_measured,,analysis_date
16-TEN-0.1,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.2,mg/L,Smith,"NJ, U",T,byhand,N,N,,,,,
16-TEN-0.1,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,7,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-TEN-0.1,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.042,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-TEN-0.1,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,Smith,,T,byhand,N,N,,,,,
16-TEN-0.1,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.27,mg/L,Smith,,T,byhand,N,N,,,,,
16-TEN-0.1,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.24,mg/L,Smith,,T,byhand,N,N,,,,,
16-TEN-0.1,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-TEN-0.1,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,<0.01,mg/L,Smith,,T,byhand,N,N,,,,,
16-TEN-0.1,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,0.38,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-TEN-0.1,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,1.6,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-TEN-0.1,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.38,mg/L,Smith,,T,byhand,N,N,,,,,
16-TEN-0.1,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-TEN-0.1,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.064,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-TEN-8.6,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.2,mg/L,Smith,"NJ, U",T,byhand,N,N,,,,,
16-TEN-8.6,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,1,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-TEN-8.6,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.034,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-TEN-8.6,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,Smith,,T,byhand,N,N,,,,,
16-TEN-8.6,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.24,mg/L,Smith,,T,byhand,N,N,,,,,
16-TEN-8.6,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.32,mg/L,Smith,,T,byhand,N,N,,,,,
16-TEN-8.6,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-TEN-8.6,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.022,mg/L,Smith,,T,byhand,N,N,,,,,
16-TEN-8.6,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.20,mg/L,Smith,"NJ,U",T,byhand,N,N,,,,,
16-TEN-8.6,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,<0.40,mg/L,Smith,"NJ,U",T,byhand,N,N,,,,,
16-TEN-8.6,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.37,mg/L,Smith,HT3,T,byhand,N,N,,,,,
16-TEN-8.6,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,"HT3,U",T,byhand,N,N,,,,,
16-TEN-8.6,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.033,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WASS_T2-0.1,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.20,mg/L,Smith,"NJ,U",T,byhand,N,N,,,,,
16-WASS_T2-0.1,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,1.7,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WASS_T2-0.1,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.42,mg/L,Smith,,T,byhand,N,N,,,,,
16-WASS_T2-0.1,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-WASS_T2-0.1,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.056,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WASS-T2_0.1,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,0.27,mg/L,Smith,NJ,T,byhand,N,N,0.56,10,10.816,,
16-WASS-T2_0.1,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,4.6,mg/L,Smith,NJ,T,byhand,N,N,2.6,10,9.12,,
16-WASS-T2_0.1,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.039,mg/L,Smith,NJ,T,byhand,N,N,0.028,0.2,0.279,,
16-WASS-T2_0.1,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,Smith,,T,byhand,N,N,,,,,
16-WASS-T2_0.1,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.18,mg/L,Smith,,T,byhand,N,N,,,,,
16-WASS-T2_0.1,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.4,mg/L,Smith,,T,byhand,N,N,,,,,
16-WASS-T2_0.1,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-WASS-T2_0.1,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.032,mg/L,Smith,,T,byhand,N,N,,,,,
16-WASS-2.1,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,0.56,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WASS-2.1,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,2.6,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WASS-2.1,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.028,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WASS-2.1,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,Smith,,T,byhand,N,N,,,,,
16-WASS-2.1,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.18,mg/L,Smith,,T,byhand,N,N,,,,,
16-WASS-2.1,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.49,mg/L,Smith,,T,byhand,N,N,,,,,
16-WASS-2.1,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-WASS-2.1,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.027,mg/L,Smith,,T,byhand,N,N,,,,,
16-WASS-2.1,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.20,mg/L,Smith,"NJ,U",T,byhand,N,N,,,,,
16-WASS-2.1,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,5.1,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WASS-2.1,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.73,mg/L,Smith,,T,byhand,N,N,,,,,
16-WASS-2.1,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-WASS-2.1,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.037,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WEBA-0.1,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,0.38,mg/L,Smith,NJ,T,byhand,N,N,0.38,10,9.264,,
16-WEBA-0.1,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,2.8,mg/L,Smith,NJ,T,byhand,N,N,2.8,10,9.82,,
16-WEBA-0.1,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.037,mg/L,Smith,NJ,T,byhand,N,N,0.037,0.2,0.297,,
16-WEBA-0.1,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-0.1,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.18,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-0.1,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.33,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-0.1,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-WEBA-0.1,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.02,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-0.1,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.20,mg/L,Smith,"NJ,U",T,byhand,N,N,,,,,
16-WEBA-0.1,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,1.4,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WEBA-0.1,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.44,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-0.1,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-WEBA-0.1,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.044,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WEBA-13.1,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,0.75,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WEBA-13.1,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,7.9,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WEBA-13.1,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.075,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WEBA-13.1,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-13.1,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.1,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-13.1,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.65,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-13.1,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-WEBA-13.1,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.099,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-13.1,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.20,mg/L,Smith,"NJ,U",T,byhand,N,N,,,,,
16-WEBA-13.1,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,2.3,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WEBA-13.1,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.17,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-13.1,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-WEBA-13.1,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.21,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WEBA-15.1,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,0.73,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WEBA-15.1,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,3.8,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WEBA-15.1,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.044,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WEBA-15.1,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-15.1,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.15,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-15.1,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.71,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-15.1,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-WEBA-15.1,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.014,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-15.1,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.2,mg/L,Smith,"NJ,U",T,byhand,N,N,,,,,
16-WEBA-15.1,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,1.6,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WEBA-15.1,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.68,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-15.1,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-WEBA-15.1,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.027,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WEBA-21.2,7/26/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,0.49,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-21.2,7/26/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,3.2,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WEBA-21.2,7/26/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.028,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WEBA-21.2,9/6/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,<0.05,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-21.2,9/6/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.34,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-21.2,9/6/2018,"NITROGEN, NITRATE (AS N)",,0.36,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-21.2,9/6/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,U,T,byhand,N,N,,,,,
16-WEBA-21.2,9/6/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.015,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-21.2,9/25/2018,"Nitrogen, ammonia (As N)",SM 4500-NH3 B+D,0.28,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WEBA-21.2,9/25/2018,"NITROGEN, KJELDAHL, TOTAL",500-N Org B + NH3 B +,0.47,mg/L,Smith,NJ,T,byhand,N,N,,,,,
16-WEBA-21.2,9/25/2018,"NITROGEN, NITRATE (AS N)",,0.49,mg/L,Smith,,T,byhand,N,N,,,,,
16-WEBA-21.2,9/25/2018,"NITROGEN, NITRITE",,<0.05,mg/L,Smith,"X,U",T,byhand,N,N,,,,,
16-WEBA-21.2,9/25/2018,"PHOSPHORUS, TOTAL (AS P)",SM 4500-P B5 + E,0.038,mg/L,Smith,NJ,T,byhand,N,N,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
